Site,Grave_ID,InventoryNumber,thickness_mm,grave_fill,clay_grain_size,temper,temper_percent,polish,smooth_beat,decorated (impression),impressed_decorations_perc,decorated (plastic),plastic_deco,slip_paint_perc,SurfaceFinishOutside,SurfaceFinishInside,Main type,Type,Plate,Measurements (mm),height_cm,max_width_cm,max_measure_cm,Measure_missing,height_mm,rim_mm,wall_mm,bottom_mm,Acc_number
Ivanovice na Hane 3/2,Iv3_2_803,A16798,6,,1-2 mm,mica,,,2,,,,,,smoothed,smoothed,vessel (medium),medium-sized vessel (middle fragment),29.4,"H ? 100 mm, B ? 105 mm (fragment height, max width measured from drawing)",10,17.7,17.7,,,,,,
Ivanovice na Hane 3/2,Iv3_2_803,A16799,5,,1-2 mm,mica,,,1,,,,,,smoothed,coarse-formed,bowl,"bowl (hemispherical, with handle)",29.2,"H ? 45 mm, R ? 94 mm, B ? 47 mm",4.5,9.4,9.4,,,,,,
Ivanovice na Hane 3/2,Iv3_2_803,A16800,7,,2-3 mm,mica,,,1,,,,,,smoothed,coarse-formed,pot,pot-shaped vessel (fragments),29.5,"R ? 170 mm, B ? 90 mm (measurements from reconstructed drawing used)",33,30.5,33,,,,,,
Ivanovice na Hane 3/2,Iv3_2_804,A16802,3,,<1 mm,mica,,,1,,,,,,smoothed,coarse-formed,jug,"jug (medium-sized, lower part)",28.3,"H ? 110 mm, B ? 83 mm",11,8.3,11,,,,,,
Ivanovice na Hane 3/2,Iv3_2_805,A16803-16809,5,,1-2 mm,mica,,,1,,,,,,smoothed,coarse-formed,NA,"sherds (undetermined, small)",30.2,1x1.5 (largest sherd measured),2.7,1.9,2.7,,,,,,
Ivanovice na Hane 3/2,Iv3_2_806,A16810,5,,<1 mm,mica,,,,1,0.33,,,,coarse-formed,coarse-formed,beaker,beaker (decorated with cord imprints),30.5,"H ? 143 mm, R ? 97 mm, B ? 77 mm (max width measured from drawing)",14.3,11.7,14.3,,,,,,
Ivanovice na Hane 3/2,Iv3_2_806,A16811,3,,<1 mm,mica,,,2,,,,,,smoothed,smoothed,NA,sherds (undetermined),30.4,4.4x4.4 (largest sherd measured from drawing),4.4,4.4,4.4,,,,,,
Ivanovice na Hane 3/2,Iv3_2_809,A16813,4,,2-3 mm,mica,,,1,,,,,,smoothed,coarse-formed,jug,"jug? (undetermined, bottom fragment)",31.6,"H ? 82 mm, B ? 75 mm. (max width measured from drawing, originally erroneously labeled as pl. 31.4)",8.2,16.9,16.9,,,,,,
Ivanovice na Hane 3/2,Iv3_2_811,A16818,4,,<1 mm,mica,,,2,,,,,,smoothed,smoothed,amphora,"amphora? (medium-sized, lower fragments)",31.7,"H ? 49 mm, B ? 100 mm (max width measured from drawing)",4.9,18.3,18.3,,,,,,
Ivanovice na Hane 3/2,Iv3_2_811,A16819,6,,2-3 mm,mica,,,2,,,,,,smoothed,smoothed,bowl,bowl (fragments with edge notches),31.8,"H ? 60 mm, R ? 172 mm, B ? 93 mm",6,17.2,17.2,,,,,,
Ivanovice na Hane 3/2,Iv3_2_811,A16820,5,,2-3 mm,mica,,,1,,,,,0.5,coated with slip+smoothed,coarse-formed,vessel (medium),medium-sized vessel (bottom part),31.9,"H ? 88 mm, B ? 55 mm (max width measured from drawing)",8.8,11.3,11.3,,,,,,
Ivanovice na Hane 3/2,Iv3_2_825,A28071,6,,2-3 mm,mica,,,,,,,,,coarse-formed,coarse-formed,pot (egg-shaped),egg-shaped pot (w. notches on the edge),43.3,"H ? 230 mm, R ? c. 155 mm, B ? 90 mm. (max width measured from drawing)",23,19.4,23,,,,,,
Ivanovice na Hane 3/2,Iv3_2_825,A34248,4,,1-2 mm,mica,,,1,,,"plastic bars, handle, penetrations, ears",6,,smoothed,coarse-formed,jug,"jug (amphora-shaped, with plastic bars)",43.4,"H ? 297 mm, R ? 147 mm, B ? 105 mm, C ? 311/140 mm",29.7,31.1,31.1,,,,,,
Ivanovice na Hane 4,Iv4_800,A17361,4,,<1 mm,mica,,1,1,,,handle,1,0.5,coated with slip+polished,smoothed,jug,jug,45.8,"H ? 175 mm, R ? 112 mm, B ? 78 mm, C ? 165/48 mm",17.5,16.5,17.5,,,,,,
Ivanovice na Hane 4,Iv4_800,A17362,6,,>3 mm,mica,,,,,,handle,1,,coarse-formed,coarse-formed,bowl,bowl (with handle),45.6,"H ? 38 mm, R ? 123 mm, B ? 79 mm",38,12.3,38,,,,,,
Ivanovice na Hane 4,Iv4_800,A17363,7,,>3 mm,mica,,,,,,handle,1,,coarse-formed,coarse-formed,mug,"mug (special shape, with one handle)",45.7,"H ? 115 mm, R ? 120 mm, B ? 86 mm (max width measured from drawing)",11.5,14.5,14.5,,,,,,
Ivanovice na Hane 4,Iv4_800,A17376,6,,1-2 mm,mica,,,2,,,ears,2,0.5,coated with slip+smoothed,smoothed,amphora,amphora,46.1,"H ? 324 mm, R ? 108 mm, B ? 100 mm, C ? 318/164 mm",32.4,31.8,32.4,,,,,,
Ivanovice na Hane 4,Iv4_800,A17377,5,,1-2 mm,mica,,,,1,0.6,,,,coarse-formed,coarse-formed,pot (egg-shaped),egg-shaped pot (with brush strokes on the torso),46.9,"H ? 211 mm, R ? 148 mm, B ? 95 mm (max width measured from drawing)",21.1,19.8,21.1,,,,,,
Ivanovice na Hane 4,Iv4_807A,A17386,5,,<1 mm,mica,,,2,,,,,,smoothed,smoothed,bowl,bowl,49.1,"H ? 36-40 mm, R ? 151 mm, B ? 70 mm",3.8,15.1,15.1,,,,,,
Ivanovice na Hane 4,Iv4_810,A17388,9,,>3 mm,mica,,,1,,,,,,smoothed,coarse-formed,pot,pot-shaped vessel,53.13,"H ? 330 mm, R ? 300 mm, B ? 170? mm (max width measured from drawing)",33,33.3,33.3,,,,,,
Ivanovice na Hane 4,Iv4_810,A17389,8,,2-3 mm,mica,,1,,,,ears,2,,polished,coarse-formed,amphora,amphora,53.14,"H ? 420 mm, R ? 130 mm, B ? 106 mm, C ? 470/190 mm",42,47,47,,,,,,
Ivanovice na Hane 4,Iv4_810,A17390,5,,<1 mm,mica,,1,1,1,0.33,handle,1,,polished,smoothed,jug,jug (Drevohostice),52.1,"H ? 200 mm, R ? 135 mm, B ? 85 mm, C ? 235/74 mm.",20,23.5,23.5,,,,,,
Ivanovice na Hane 4,Iv4_810,A17391,6,,<1 mm,mica,,,2,,,"handle, perforations",2,,smoothed,smoothed,jug,jug (amphora-like),52.12,"H ? 270 mm, R ? 150 mm, B ? 92 mm (max width measured from drawing)",27,25,27,,,,,,
Ivanovice na Hane 4,Iv4_810,A17392,8,,1-2 mm,mica,,,1,,,,,,smoothed,coarse-formed,pot (egg-shaped),egg-shaped pot,52.11,"H ? 230 mm, R ? 176 mm, B ? 86 mm (max width measured from drawing)",23,21.6,23,,,,,,
Ivanovice na Hane 4,Iv4_810,A17393,4,,<1 mm,mica,,,2,1,0.33,,,,smoothed,smoothed,beaker,beaker (decorated),51.8,"R ? 115 mm, B ? 70 mm (max width measured from drawing)",16.9,15.3,16.9,,,,,,
Ivanovice na Hane 4,Iv4_810,A17394,3,,<1 mm,mica,,2,,1,0.8,handle,1,,polished,polished,jug,"jug (Drevohostice, with engraved decoration and traces of red painting under the edge (outside and inside) and on the ear (painting marked by hatching))",51.9,"H ? 175 mm, R ? 125 mm, B ? 80 mm (max width measured from drawing)",17.5,19.4,19.4,,,,,,
Hradisko (Ring wall),100.3.1. Gr. 1,ceramic,,,,sand,,,,1,,,,,,,beaker,"beaker (corded, light decoration, deformed, brown, S-shape, socketed, grey coarsened surface, sandy clay matrix, ",,"H 110-125, R 72-101mm, R 49 mm)",12.5,12.5,12.5,,125,101,125,,
Hradisko (Ring wall),100.3.1. Gr. 1,ceramic,,,,sand,,,,,,hole,1,,,,bowl,"bowl (socketed, circular hole below neck rim, brown coarsened surface, coarse sandy clay matrix",,"(H 48-60mm, R 110-121mm, B62-69mm)",6,12.1,12.1,,60,121,121,,
Nivky (Hulin),104.1.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,1,0.6,handle,1,,,,jug ,"jug (decorated, Drevohostice type, massive handle, coarsened brown-grey surface, coarse sand tempered, (252x165x258/75-90mm)",,"decorated, Drevohostice type, massive handle, coarsened brown-grey surface, coarse sand tempered, ",25.2,25.8,25.8,,252,165,258/75-90mm),,
Nivky (Hulin),104.1.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,1,0.5,,,,,,beaker ,"beaker (decorated, corded, s-shape body, brown-grey coarsened surface, sandy clay matrix (120x96x64mm)",,"decorated, corded, s-shape body, brown-grey coarsened surface, sandy clay matrix ",12,9.6,12,,120,96,64mm),,
Nivky (Hulin),104.1.1.1 Grave 1 (VN 1),ceramic,,,,,,,1,,,handle,1,,,,Storied pot ,"Storied pot (with handle, smooth yllow-brown spotted surface, fine clay-like material, (137x71-102/99x56mm)",,"with handle, smooth yllow-brown spotted surface, fine clay-like material, ",13.7,10.2,13.7,,137,71-102/99,56mm),,
Kloboucky (Padelky),121.1.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,Potsherds of Nagyrev jug ,"Potsherds of Nagyrev jug (Balkan type, dark grey smooth surface, sandy clay matrix, (176x106x98mm)",,"Balkan type, dark grey smooth surface, sandy clay matrix, ",17.6,10.6,17.6,,176,106,98mm),,
Kostelec u Holesova (Kostelecke polesi),132.1.7.2  Barrow 2 (VN 1),ceramic,,,,,,,,1,0.33,handle,1,,,,jug ,"jug (decorated, Drevohostice type, ribbon handle, grey-black coarsened surface (195x105x17mm, belly 183/75mm)",,"decorated, Drevohostice type, ribbon handle, grey-black coarsened surface ",19.5,18.3,19.5,,195,105,"17mm, belly 183/75mm)",,
Blucina,14.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.4,handle,1,,,,jug ,"jug (decorated Drevohostice type, ribbon handle, smooth with some cracks, brown-grey surface, fine sand tempered (208x126x93mm)",2:1,"decorated Drevohostice type, ribbon handle, smooth with some cracks, brown-grey surface, fine sand tempered ",20.8,12.6,20.8,,208,126,93mm),,
Krumvir (Dily u zahrady-zadky),143.1.3. Gr. 3,ceramic,,,,,,,1,,,ribbon handles,6,,,,potsherds of ball-shaped amphora ,"potsherds of ball-shaped amphora (two ribbon handles on belly and four tunnel handles. Brown-black smooth surface (H - 452 mm; R - 160 mm; C - 576/225 mm; B - 145 mm)
",,two ribbon handles on belly and four tunnel handles. Brown-black smooth surface ,45.2,57.6,57.6,,H - 452 mm,R - 160 mm,C - 576/225 mm,B - 145 mm),
Krumvir (Dily u zahrady-zadky),143.1.3. Gr. 3,ceramic,,,,,,,,,,,,,,,potsherds of egg-shaped pot (Brown-black coarsened surface. (H - 420 mm; R - 250 mm; C - 335/220 mm; B - 90 mm).,potsherds of egg-shaped pot (Brown-black coarsened surface. (H - 420 mm; R - 250 mm; C - 335/220 mm; B - 90 mm).,,Brown-black coarsened surface. ,42,33.5,42,,H - 420 mm,R - 250 mm,C - 335/220 mm,B - 90 mm).,
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,,,,,,,,,bowl ,"bowl (chalice shape on low hollow stalk, black-grey coarsened surface. Sandy clay matrix. (H - 83-94 mm; R - 148 mm; B - 90 mm.)",,"chalice shape on low hollow stalk, black-grey coarsened surface. Sandy clay matrix. ",8.85,14.8,14.8,,H - 83-94 mm,R - 148 mm,,B - 90 mm.),
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,,,,tunnel handles,4,,,,amphora ,amphora (143.1.7.2. Amphora with four tunnel handles below neck. Brown-grey coarsened surface. Sandy clay matrix. (H- 375 mm; R - 155 mm; C - 385/180 mm; B - 120 mm),,143.1.7.2. Amphora with four tunnel handles below neck. Brown-grey coarsened surface. Sandy clay matrix. ,37.5,38.5,38.5,,H- 375 mm,R - 155 mm,C - 385/180 mm,B - 120 mm),
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,,,,,,,,,pot ,pot (143.1.7.3. Egg-shaped pot. Grey-brown coarsened surface. Sandy clay matrix. (H - 452 mm; R - 280 mm; C - 350/270 mm; B 120mm),,143.1.7.3. Egg-shaped pot. Grey-brown coarsened surface. Sandy clay matrix. ,45.2,35,45.2,,H - 452 mm,R - 280 mm,C - 350/270 mm,B 120mm),
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,1,,,ribbon handle,1,,,,cup ,"cup (ribbon handle. Smooth brown-black surface. Clay intermixed with sand grains. (H - 133 mm; R - 150 mm, 170/75 mm; B - 75 mm)",,ribbon handle. Smooth brown-black surface. Clay intermixed with sand grains. ,13.3,17,17,,H - 133 mm,"R - 150 mm, 170/75 mm",,B - 75 mm),
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,1,,,modelled boss,1,,,,bowl ,bowl (Moravian type with modelled boss. Brown-grey smooth surface. Sandy clay matrix. (H - 50 mm; R - 110 mm; B - 40 mm.),,Moravian type with modelled boss. Brown-grey smooth surface. Sandy clay matrix. ,5,11,11,,H - 50 mm,R - 110 mm,,B - 40 mm.),
Krumvir (Dily u zahrady-zadky),143.1.7. Gr. 7,ceramic,,,,sand,,,1,,,,,,,,jug ,jug (Nagyrev jug of Balkan type. Red-brown smooth surface. Sandy clay matrix. (H - 228 mm; R - 102 mm; C - 184/63 mm; B - 85 mm.),,Nagyrev jug of Balkan type. Red-brown smooth surface. Sandy clay matrix. ,22.8,18.4,22.8,,H - 228 mm,R - 102 mm,C - 184/63 mm,B - 85 mm.),
Kyjov-Netcice (Stara Hora),148.2.1. Gr. 1,ceramic,,,,,,,1,1,0.6,,,,,,potsherds: beaker ,"potsherds: beaker (decorated, corded, smooth light brown surface with dark spots, Clay-like material, (H - 201 mm. R - 115 mm; C - 131/50 mm; B - 97 mm)",36:2,"decorated, corded, smooth light brown surface with dark spots, Clay-like material, ",20.1,13.1,20.1,,H - 201 mm,R - 115 mm,C - 131/50 mm,B - 97 mm),
Kyjov-Netcice (Stara Hora),148.2.1. Gr. 1,ceramic,,,,sand,,,1,1,0.5,,,,,,potsherds: large vessel ,"potsherds: large vessel (decorated, S-shaped walls of body, brown-yellow smooth surface with dark spots, fine sandy clay matrix, (H - 235 mm; R - 192 mm; C - 223/85 mm; B - 94 mm)",36:1,"decorated, S-shaped walls of body, brown-yellow smooth surface with dark spots, fine sandy clay matrix, ",23.5,22.3,23.5,,H - 235 mm,R - 192 mm,C - 223/85 mm,B - 94 mm),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,1,,,handle,1,,,,jug ,jug (Nagyrev jug of the Balkan type with handle. Glossy smooth grey-black surface. Sandy clay matrix. (H - 180 mm; R - 95 mm; C - 145/42 mm; B - 70 mm),,Nagyrev jug of the Balkan type with handle. Glossy smooth grey-black surface. Sandy clay matrix. ,18,14.5,18,,H - 180 mm,R - 95 mm,C - 145/42 mm,B - 70 mm),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,1,,,tunnel handles,5,,,,amphora ,amphora (five tunnel handles on shoulders. Brown-grey smooth surface. Clay intermixed with fine grains of sand. (H - 329 mm; R -117-127 mm; C - 317/150 mm; B - 94 mm),,five tunnel handles on shoulders. Brown-grey smooth surface. Clay intermixed with fine grains of sand. ,32.9,31.7,32.9,,H - 329 mm,R -117-127 mm,C - 317/150 mm,B - 94 mm),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,,,,,,,,,,,,jug ,Torso of lower part of jug (unidentified),,Torso of lower part of jug (unidentified),15,15,15,TRUE,,,,,
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,,,,,,,,,pot ,"pot (Egg-shaped, coarsened light brown surface with black spots. coarse sand tempered (H - 400 mm; R - 257 mm; C - 308/216 mm; B -124 mm)",,"Egg-shaped, coarsened light brown surface with black spots. coarse sand tempered ",40,30.8,40,,H - 400 mm,R - 257 mm,C - 308/216 mm,B -124 mm),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,1,,,modelled boss,1,,,,small bowl ,"small bowl (Moravian type with modelled boss. Brown smooth surface with dark spots, fine sand tempered, (H - 43 mm; R - 112 mm; B - 50 mm.)",,"Moravian type with modelled boss. Brown smooth surface with dark spots, fine sand tempered, ",4.3,11.2,11.2,,H - 43 mm,R - 112 mm,,B - 50 mm.),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,,,,modelled boss,1,,,,another small bowl ,small bowl (Moravian type with modelled boss. Brown-black coarsened surface. Loan sandy material. (H - 51 mm; R - 103 mm; B - 55 mm),,Moravian type with modelled boss. Brown-black coarsened surface. Loan sandy material. ,5.1,10.3,10.3,,H - 51 mm,R - 103 mm,,B - 55 mm),
Letonice (Hajek),155.1.1. Br. 3,ceramic,,,,sand,,,,,,handle,1,,,,cup ,cup (with handle. Coarsened brown surface. Coarse sandy clay matrix. (H - 1 16-127 mm; R - 140 mtn; B - 87 mm),,with handle. Coarsened brown surface. Coarse sandy clay matrix. ,12.15,14,14,,H  116-127 mm,R - 140 mtn,,B - 87 mm),
Letonice (Hajek),155.1.2 Barrow 4 (VN 1),ceramic,,,,sand,,,1,,,,,,,,vessel ,vessel (Undecorated jug. Black-grey smooth surface. Fine sandy clay matrix. (H - 156 mm; R - 125 mm; C - 196/60 mm; B - 93mm.),,Undecorated jug. Black-grey smooth surface. Fine sandy clay matrix. ,15.6,19.6,19.6,,H - 156 mm,R - 125 mm,C - 196/60 mm,B - 93mm.),
Letonice (Hajek),155.1.2 Barrow 4 (VN 1),ceramic,,,,,,,1,,,"ribbon handle, tunnel handles",5,,,,Amphora ,"Amphora (jug-like, with massive ribbon handle and 4 tunnel handles. Smooth brown surface. Clay-like material. (H - 394-403 mm; R - 150 mm; C - 415/140 mm; B - 102 mm)",,"jug-like, with massive ribbon handle and 4 tunnel handles. Smooth brown surface. Clay-like material. ",39.85,41.5,41.5,,H - 394-403 mm,R - 150 mm,C - 415/140 mm,B - 102 mm),
Letonice (Hajek),155.1.2 Barrow 4 (VN 1),ceramic,,,,sand,,,1,,,ribbon handle,1,,,,jug ,jug (Nagyrev of the Balkan type with ribbon handle. Grey-black smooth surface. Sandy clay matrix. (H - 198 mm; R - 102 mm; C - 188/50 mm; B - 92 mm),,Nagyrev of the Balkan type with ribbon handle. Grey-black smooth surface. Sandy clay matrix. ,19.8,18.8,19.8,,H - 198 mm,R - 102 mm,C - 188/50 mm,B - 92 mm),
Letonice (Hajek),155.1.2 Barrow 4 (VN 1),ceramic,,,,sand,,,1,,,handle,1,,,,Low cup ,Low cup (massive handle. Brown-grey smooth surface. sand-tempered  (H - 113 mm; R - 162 mm; C - 175/60 mm; B - 90 mm),,massive handle. Brown-grey smooth surface. sand-tempered  ,11.3,17.5,17.5,,H - 113 mm,R - 162 mm,C - 175/60 mm,B - 90 mm),
Letonice (Hajek),155.1.2 Barrow 4 (VN 1),ceramic,,,,"sand, mica",,,,,,,,,,,Egg-shaped pot ,Egg-shaped pot (brown coarsened surface with dark spots. Clay intermixed with coarse grains of sand and mica. (H - 398 mm; R - 283-302 mm; C - 310/275 mm; B - 130 mm),,brown coarsened surface with dark spots. Clay intermixed with coarse grains of sand and mica. ,39.8,31,39.8,,H - 398 mm,R - 283-302 mm,C - 310/275 mm,B - 130 mm),
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.11.,,,,,,,,,,,,,,,egg-shaped pot,"155.1.4.11. Egg-shaped pot H-210 mm; R-110 mm: B-90 mm (unidentified). Pl. 47:6,""",47:6,Egg-shaped pot,21,11,21,,H-210 mm,R-110 mm,,B-90 mm,
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155 14.12.,,,,,,,,,,,,,,,egg-shaped pot,155 14.12. Egg-shaped pot. Light brown coarsened surface. Clay-like material. H-225 mm: R - 121 C-204/125 mm. Acc. No. Pa 3898/38. PL. 45:1.,45:1,Egg-shaped pot. Light brown coarsened surface. Clay-like material.,22.5,20.4,22.5,,H-225 mm,R  121,C-204/125 mm,,Acc. No. Pa 3898/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.13.,,,,sand,,,,,,,,,,,egg-shaped pot,155.1.4.13. Egg-shaped pot. Black-grey coarsened surface. Fine sandy clay matrix. H- 194 mm; R-132 min C-162/100 mm; B-80 mun Acc. No. Pa 3899/38. Pl. 47:5,47:5,Egg-shaped pot. Black-grey coarsened surface. Fine sandy clay matrix.,19.4,16.2,19.4,,H- 194 mm,R-132 mm,C-162/100 mm,B-80 mu,Acc. No. Pa 3899/38.
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.14.,,,,sand,,,,,,modelled ledge,1,,,,egg-shaped pot,"155.1.4.14. Egg-shaped pot with modelled ledge below neck. Flat, socketed bottom. Coarsened grey-black surface. Coarse sandy clay matrix. H-365 mm: R-275 mm; C-337/210 muti: B-108 mm. Acc. No. Pa 3900/38. PL. 456",45:6,"Egg-shaped pot with modelled ledge below neck. Flat, socketed bottom. Coarsened grey-black surface. Coarse sandy clay matrix.",36.5,33.7,36.5,,H-365 mm,R-275 mm,C-337/210 mm,B-108 mm,Acc. No. Pa 3900/38
